code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,target,total_clicks
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,-107.0,0,2992.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,-27.0,0,680.0
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,-31.0,0,1494.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,-170.0,1,1240.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,-107.0,0,2839.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,-62.0,0,744.0
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,-103.0,0,4104.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,-107.0,0,1944.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,-100.0,0,1150.0
AAA,2013J,M,Ireland,Post Graduate Qualification,Unknown,35-55,0,60,N,-109.0,0,4777.0
AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,5.0,1,465.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,-107.0,0,733.0
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,-110.0,0,998.0
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,-43.0,0,2343.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,-26.0,0,3553.0
AAA,2013J,F,North Region,Post Graduate Qualification,Unknown,35-55,0,60,N,-29.0,0,757.0
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,-68.0,0,1358.0
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,-68.0,0,1886.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,-32.0,0,1108.0
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,-99.0,0,284.0
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,-82.0,0,2041.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,-31.0,0,1321.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,-197.0,1,1888.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,-75.0,0,520.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,-96.0,0,2732.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,-29.0,1,73.0
AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,-32.0,1,610.0
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,-195.0,0,5528.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,-61.0,0,1823.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,-110.0,1,756.0
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,-37.0,0,2121.0
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,-67.0,0,5645.0
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,-36.0,0,452.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,-132.0,0,597.0
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,-92.0,0,1718.0
AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,-138.0,1,155.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,-174.0,1,3812.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,-44.0,0,270.0
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,-16.0,0,1529.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,-54.0,0,4003.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,-64.0,1,2645.0
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,-52.0,0,1405.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,-46.0,1,2062.0
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,-64.0,0,466.0
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,-117.0,0,1510.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,-32.0,0,745.0
AAA,2013J,M,Ireland,HE Qualification,Unknown,35-55,0,60,N,-50.0,0,1939.0
AAA,2013J,F,Ireland,A Level or Equivalent,Unknown,35-55,0,60,N,-45.0,0,1782.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,-162.0,0,6318.0
AAA,2013J,M,North Region,HE Qualification,Unknown,35-55,0,60,N,-195.0,0,4447.0
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,-92.0,0,2016.0
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,-57.0,0,138.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,-64.0,0,2012.0
AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,-39.0,1,487.0
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,-128.0,0,1975.0
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,-32.0,0,964.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,-74.0,0,1312.0
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,-12.0,0,427.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,-109.0,0,2136.0
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,-136.0,0,8562.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,-57.0,1,4497.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,-180.0,0,1541.0
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,-62.0,0,3219.0
AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,-45.0,1,1905.0
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,-54.0,0,534.0
AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,-73.0,1,1418.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,-68.0,0,1665.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,-51.0,0,333.0
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,-169.0,0,2953.0
AAA,2013J,M,Ireland,HE Qualification,Unknown,0-35,0,180,N,-172.0,0,1205.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,-31.0,0,227.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,-108.0,0,445.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,-165.0,0,614.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,-58.0,0,1215.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,-29.0,0,1839.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,-79.0,1,1257.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,2.0,0,732.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,-151.0,0,1935.0
AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,-45.0,0,321.0
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,-47.0,0,427.0
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,-50.0,0,1892.0
AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,-31.0,0,1829.0
AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,-36.0,0,658.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,-16.0,0,1174.0
AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,-198.0,0,1969.0
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,-103.0,0,2580.0
AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,-117.0,0,1481.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,-68.0,0,844.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,-172.0,0,4963.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,-186.0,1,426.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,-145.0,0,1066.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,-191.0,0,2407.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,-33.0,0,3210.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,-17.0,1,191.0
AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,-68.0,0,3348.0
AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,-108.0,1,2028.0
AAA,2013J,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,-138.0,0,1183.0
AAA,2013J,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,-74.0,0,492.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,-64.0,0,130.0
AAA,2013J,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,-50.0,0,59.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,-107.0,0,1961.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,-8.0,0,1046.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,-52.0,0,483.0
AAA,2013J,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,-96.0,0,1740.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,-141.0,0,652.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,-132.0,0,5231.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,-162.0,1,0.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,-27.0,0,187.0
AAA,2013J,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,-80.0,0,1775.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,-145.0,0,865.0
AAA,2013J,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,-17.0,0,3099.0
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,-115.0,0,2152.0
AAA,2013J,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,-32.0,0,514.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,-59.0,0,1997.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,-83.0,0,513.0
AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,-18.0,0,146.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,-66.0,0,1277.0
AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,-54.0,1,68.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,-107.0,0,987.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,-58.0,0,1220.0
AAA,2013J,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,-123.0,0,2742.0
AAA,2013J,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,-31.0,0,1081.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,-107.0,0,1476.0
AAA,2013J,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,-121.0,0,2230.0
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,-79.0,0,12882.0
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,-59.0,0,281.0
AAA,2013J,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,-100.0,0,1281.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,-47.0,0,6589.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,-67.0,0,10083.0
AAA,2013J,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,-32.0,0,1901.0
AAA,2013J,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,-165.0,0,1961.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,-32.0,0,133.0
AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,N,-67.0,1,6588.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,-64.0,0,1655.0
AAA,2013J,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,-103.0,0,301.0
AAA,2013J,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,-53.0,0,648.0
AAA,2013J,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,-32.0,0,332.0
AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,-192.0,1,303.0
AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,-196.0,1,3928.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,-110.0,0,1316.0
AAA,2013J,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,-57.0,0,333.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,48.0,0,201.0
AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,-71.0,1,3178.0
AAA,2013J,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,-81.0,0,1950.0
AAA,2013J,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,-60.0,0,838.0
AAA,2013J,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,-49.0,0,3644.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,-12.0,0,65.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,-37.0,0,547.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,-18.0,0,2219.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,-75.0,0,569.0
AAA,2013J,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,-44.0,0,164.0
AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,-49.0,0,761.0
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,120,N,-32.0,1,198.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,-38.0,0,166.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,-129.0,0,821.0
AAA,2013J,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,-38.0,0,891.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,-52.0,0,2129.0
AAA,2013J,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,-4.0,0,1465.0
AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,-123.0,0,437.0
AAA,2013J,M,Wales,HE Qualification,50-60%,35-55,0,120,N,-60.0,0,292.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,-19.0,0,677.0
AAA,2013J,M,North Region,HE Qualification,Unknown,0-35,0,60,N,-87.0,0,2342.0
AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,-64.0,0,2333.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,-155.0,0,1062.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,-61.0,0,543.0
AAA,2013J,M,Ireland,Lower Than A Level,Unknown,0-35,0,120,N,-192.0,0,164.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,-38.0,0,910.0
AAA,2013J,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,-179.0,0,671.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,-185.0,0,875.0
AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,-31.0,1,997.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,-58.0,0,363.0
AAA,2013J,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,-54.0,0,3003.0
AAA,2013J,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,-38.0,0,876.0
AAA,2013J,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,-23.0,0,996.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,-57.0,0,1183.0
AAA,2013J,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,-53.0,0,955.0
AAA,2013J,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,-130.0,0,1445.0
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,-129.0,0,509.0
AAA,2013J,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,-67.0,0,1388.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,-170.0,1,0.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,-73.0,0,807.0
AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,-60.0,1,1417.0
AAA,2013J,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,-15.0,0,342.0
AAA,2013J,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,-58.0,0,411.0
AAA,2013J,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,-52.0,0,646.0
AAA,2013J,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,-53.0,0,739.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,-32.0,1,1009.0
AAA,2013J,M,London Region,HE Qualification,30-40%,0-35,0,60,N,-38.0,0,1241.0
AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,-43.0,1,842.0
AAA,2013J,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,-120.0,0,2832.0
AAA,2013J,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,-38.0,0,58.0
AAA,2013J,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,-29.0,0,901.0
AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,-16.0,0,998.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,-156.0,0,1129.0
AAA,2013J,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,-32.0,0,521.0
AAA,2013J,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,-127.0,0,2328.0
AAA,2013J,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,-51.0,0,910.0
AAA,2013J,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,-43.0,0,224.0
AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,-30.0,1,488.0
AAA,2013J,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,-158.0,0,780.0
AAA,2013J,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,-22.0,0,1271.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,-38.0,0,194.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,-17.0,0,7067.0
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,-46.0,0,605.0
AAA,2013J,M,North Region,HE Qualification,Unknown,55<=,0,60,N,-38.0,1,1105.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,-43.0,0,406.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,120,N,-29.0,0,3064.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,-57.0,0,5680.0
AAA,2013J,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,-73.0,1,4108.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,-138.0,0,4007.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,-67.0,0,7288.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,-91.0,0,3004.0
AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,-59.0,0,1357.0
AAA,2013J,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,-67.0,0,1216.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,-170.0,0,870.0
AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,-42.0,1,1980.0
AAA,2013J,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,-62.0,0,3098.0
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,60,N,-108.0,0,5988.0
AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,-87.0,0,1896.0
AAA,2013J,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,-144.0,0,1695.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,-63.0,1,1732.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,-35.0,0,240.0
AAA,2013J,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,-195.0,0,910.0
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,-169.0,0,1907.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,-87.0,1,1173.0
AAA,2013J,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,-38.0,0,3460.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,20.0,0,1462.0
AAA,2013J,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,-30.0,0,3493.0
AAA,2013J,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,-102.0,0,4202.0
AAA,2013J,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,-95.0,0,723.0
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,60,N,-95.0,0,998.0
AAA,2013J,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,-195.0,0,6025.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,-191.0,0,5061.0
AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,-124.0,1,643.0
AAA,2013J,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,-106.0,0,2756.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,-30.0,0,1759.0
AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,-198.0,1,2756.0
AAA,2013J,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,-58.0,1,420.0
AAA,2013J,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,-43.0,0,7057.0
AAA,2013J,M,Ireland,HE Qualification,Unknown,35-55,0,60,N,-106.0,0,1443.0
AAA,2013J,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,-32.0,0,459.0
AAA,2013J,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,-164.0,0,6518.0
AAA,2013J,M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,-53.0,0,5975.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,-42.0,0,1754.0
AAA,2013J,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,-81.0,0,931.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,-57.0,0,4294.0
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,-102.0,0,1992.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,-29.0,0,470.0
AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,-108.0,1,14759.0
AAA,2013J,M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,-195.0,0,1216.0
